23820,200,4
26990,200,4
25940,170,4
35940,170,4
35940,180,4
37390,225,4
11690,103,4
12585,103,4
14610,140,4
14810,140,4
16385,140,4
18760,175,4
18995,145,4
25955,220,4
17985,150,4
22000,150,4
19090,150,4
25215,150,4
21795,150,4
13670,132,4
15040,132,4
20220,150,4
18820,150,4
13730,110,4
15460,130,4
19135,170,4
17475,130,4
13270,130,4
15580,130,4
14385,143,4
16530,175,4
22260,160,4
19860,160,4
13270,115,4
17750,127,4
14170,117,4
20140,93,4
15850,115,4
19490,160,4
19860,160,4
18690,160,4
33260,240,4
10539,103,4
11839,103,4
11939,103,4
13839,138,4
15389,138,4
15389,138,4
20130,150,4
16040,138,4
11155,104,4
10280,104,4
11905,104,4
12360,124,4
13580,124,4
14630,124,4
14840,143,4
22388,142,4
25193,142,4
21087,130,4
15500,148,4
17200,160,4
19270,160,4
26060,189,4
40320,192,4
16999,115,4
19999,163,4
19312,160,4
14622,120,4
29562,271,4
16722,120,4
17232,120,4
17495,160,4
18892,160,4
19240,175,4
12740,126,4
14740,126,4
17640,165,4
18825,140,4
15495,140,4
17735,140,4
17045,130,4
33360,210,4
43175,210,4
40670,210,4
30860,210,4
40845,250,4
39465,250,4
35105,220,4
10995,140,4
23560,140,4
14300,140,4
14850,140,4
15825,140,4
16350,140,4
20585,143,4
12965,108,4
14165,108,4
24520,165,4
21445,165,4
19945,165,4
25045,227,4
31545,300,4
25645,165,4
20445,165,4
23895,165,4
27145,165,4
12884,155,4
14500,155,4
16497,155,4
15568,119,4
12269,119,4
19560,157,4
19635,157,4
22570,180,4
14085,130,4
15295,130,4
15030,130,4
11560,108,4
10760,108,4
11290,108,4
16695,130,4
25130,138,4
20510,110,4
20290,161,4
12800,142,4
18715,115,4
19825,180,4
19005,115,4
21055,100,4
21055,150,4
23215,115,4
24955,170,4
23955,170,4
25135,170,4
26135,170,4
43755,225,6
46100,225,6
36945,265,6
89765,290,6
33195,270,6
31840,220,6
42490,220,6
34480,220,6
33430,220,6
44240,220,6
42840,250,6
36640,220,6
40840,220,6
39640,220,6
40590,250,6
30795,184,6
37995,184,6
28495,184,6
30245,184,6
32845,184,6
36995,225,6
44295,225,6
35495,225,6
37245,225,6
39995,184,6
44995,225,6
56595,333,6
48195,333,6
37000,225,6
33895,184,6
41045,225,6
22180,175,6
26470,205,6
32245,205,6
35545,205,6
40720,240,6
37895,275,6
28345,240,6
24895,200,6
26545,185,6
30835,255,6
26395,190,6
21900,180,6
25000,200,6
27995,240,6
20370,200,6
23495,200,6
22225,200,6
21825,180,6
24225,200,6
20310,200,6
20255,165,6
30295,275,6
27020,185,6
29865,250,6
33295,255,6
24130,200,6
26860,232,6
34495,215,6
31230,250,6
30950,200,6
21840,200,6
38380,215,6
27490,180,6
20300,210,6
17630,210,6
32660,215,6
24885,232,6
22035,200,6
20215,215,6
22515,201,6
29670,210,6
26930,193,6
18345,193,6
20320,155,6
22290,155,6
22735,201,6
31890,275,6
25640,190,6
25395,190,6
26960,240,6
23760,240,6
27450,240,6
